nickname,full_name
Nerlens Noel,Nerlens Noel
Gary Harris,Gary Harris
Killian Hayes,Killian Hayes
Danuel House Jr.,Danuel House Jr.
Tremont Waters,Tremont Waters
Danilo Gallinari,Danilo Gallinari
Khyri Thomas,Khyri Thomas
De'Aaron Fox,De'Aaron Fox
Kris Dunn,Kris Dunn
Victor Oladipo,Victor Oladipo
Lonnie Walker IV,Lonnie Walker IV
Langston Galloway,Langston Galloway
Sandro Mamukelashvili,Sandro Mamukelashvili
Lamar Stevens,Lamar Stevens
Ryan Arcidiacono,Ryan Arcidiacono
Ethan Thompson,Ethan Thompson
Avery Bradley,Avery Bradley
Yves Pons,Yves Pons
RJ Barrett,RJ Barrett
Tobias Harris,Tobias Harris
Kessler Edwards,Kessler Edwards
Keljin Blevins,Keljin Blevins
Matt Coleman III,Matt Coleman III
Tyrese Haliburton,Tyrese Haliburton
Nate Hinton,Nate Hinton
Mac McClung,Mac McClung
Jusuf Nurkic,Jusuf Nurkic
Furkan Korkmaz,Furkan Korkmaz
Chris Paul,Chris Paul
Markieff Morris,Markieff Morris
Alperen Sengun,Alperen Sengun
Goga Bitadze,Goga Bitadze
John Wall,John Wall
Cedi Osman,Cedi Osman
Coby White,Coby White
Bobby Portis,Bobby Portis
Joshua Primo,Joshua Primo
Rudy Gay,Rudy Gay
Dalano Banton,Dalano Banton
Aaron Holiday,Aaron Holiday
Duncan Robinson,Duncan Robinson
Miye Oni,Miye Oni
Shaq Buchanan,Shaq Buchanan
Dillon Brooks,Dillon Brooks
Jared Cunningham,Jared Cunningham
Jordan Clarkson,Jordan Clarkson
Willie Cauley-Stein,Willie Cauley-Stein
Immanuel Quickley,Immanuel Quickley
Scottie Lewis,Scottie Lewis
Tim Hardaway Jr.,Tim Hardaway Jr.
Ish Wainright,Ish Wainright
Dennis Smith Jr.,Dennis Smith Jr.
Troy Brown Jr.,Troy Brown Jr.
CJ Elleby,CJ Elleby
Elfrid Payton,Elfrid Payton
Al-Farouq Aminu,Al-Farouq Aminu
Cam Thomas,Cam Thomas
Marcus Morris Sr.,Marcus Morris Sr.
Alex Caruso,Alex Caruso
JT Thor,JT Thor
Marcus Garrett,Marcus Garrett
Tyler Bey,Tyler Bey
Eric Paschall,Eric Paschall
Zach LaVine,Zach LaVine
Boban Marjanovic,Boban Marjanovic
Lauri Markkanen,Lauri Markkanen
Ty Jerome,Ty Jerome
Rodney McGruder,Rodney McGruder
David Duke Jr.,David Duke Jr.
Lou Williams,Lou Williams
Onyeka Okongwu,Onyeka Okongwu
Duane Washington Jr.,Duane Washington Jr.
Christian Wood,Christian Wood
P.J. Tucker,P.J. Tucker
Jarred Vanderbilt,Jarred Vanderbilt
Facundo Campazzo,Facundo Campazzo
Dwayne Bacon,Dwayne Bacon
Jeremy Lamb,Jeremy Lamb
Damian Jones,Damian Jones
Derrick Alston Jr.,Derrick Alston Jr.
Kenrich Williams,Kenrich Williams
Chasson Randle,Chasson Randle
Cory Joseph,Cory Joseph
Daniel Gafford,Daniel Gafford
Aaron Wiggins,Aaron Wiggins
Matt Ryan,Matt Ryan
Sean McDermott,Sean McDermott
LaMarcus Aldridge,LaMarcus Aldridge
Dean Wade,Dean Wade
Bam Adebayo,Bam Adebayo
Garrett Temple,Garrett Temple
James Harden,James Harden
Sam Dekker,Sam Dekker
Wayne Selden,Wayne Selden
Anfernee Simons,Anfernee Simons
Ignas Brazdeikis,Ignas Brazdeikis
Precious Achiuwa,Precious Achiuwa
Darius Bazley,Darius Bazley
Thaddeus Young,Thaddeus Young
Jaylen Brown,Jaylen Brown
Bojan Bogdanovic,Bojan Bogdanovic
Enes Kanter,Enes Kanter
Chris Boucher,Chris Boucher
Evan Mobley,Evan Mobley
Keldon Johnson,Keldon Johnson
Jae'Sean Tate,Jae'Sean Tate
Malik Monk,Malik Monk
CJ McCollum,CJ McCollum
Derrick Favors,Derrick Favors
Jose Alvarado,Jose Alvarado
Tony Bradley,Tony Bradley
Isaiah Joe,Isaiah Joe
Chimezie Metu,Chimezie Metu
Aamir Simms,Aamir Simms
Spencer Dinwiddie,Spencer Dinwiddie
Sterling Brown,Sterling Brown
Bruce Brown,Bruce Brown
Markus Howard,Markus Howard
George King,George King
Vernon Carey Jr.,Vernon Carey Jr.
Kawhi Leonard,Kawhi Leonard
Fred VanVleet,Fred VanVleet
Shake Milton,Shake Milton
Wendell Carter Jr.,Wendell Carter Jr.
